property_name,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating
2 BHK Flat in Sector 108 Gurgaon,flat,experion the heartsong,0.98,13343.0,734.0,Super Built up area 1283(119.19 sq.m.)Built Up area: 978.23 sq.ft. (90.88 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,3,3,study room,"Sector 108 Gurgaon, Gurgaon, Haryana",4,East,1 to 5 Year Old,"['Galleria 108 Mall', 'Dwarka Expressway', 'Central Peripheral Road', 'The Shikshiyan School', 'Manipal Hospital', 'Indira Gandhi International Airport', 'Vivanta New Delhi, Dwarka', 'SkyJumper Trampoline Park', 'Fun N Food Village']",Corner and airy flat with ample of sunlight throughout the day. This home we made for end use but are moving out due to job change.The home is protected against all hidden damages. We got seepage protection and tile protection done two months back.,"['1 Bed', '1 Sofa', '8 Light', '3 AC', '1 Curtains', 'No Chimney', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']"
3 BHK Flat in Sector 102 Gurgaon,flat,shapoorji pallonji joyville gurugram,2.04,14068.0,1450.0,Super Built up area 1852(172.06 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,3+,not available,"102, Sector 102 Gurgaon, Gurgaon, Haryana",1,South,1 to 5 Year Old,"['Khan Market', 'The Esplanade Mall', 'Dwarka Expressway', 'Garhi Road', 'Delhi Public School', 'SGT University', 'Aryan Hospital', 'Indira Gandhi Int. Airport', 'Basai Dhankot', 'The Executive Centre', 'Inde Hotels & Resorts', 'Appu Ghar', 'DLF Golf and Country Club']","3bhk 3baths 1855sqft new project sector 102 main dwarka experssway 
Residential apartment for sale
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['2 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']","['Green Area4 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']"
4 BHK Flat in Sector 85 Gurgaon,flat,orris aster court premier,1.5,5859.0,2560.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4,5,3+,servant room,"Sector 85 Gurgaon, Gurgaon, Haryana",6,West,0 to 1 Year Old,"['Propose Metro Station', 'SS Omnia Mall', 'National Highway 8', 'Gurgaon Toll', 'Rajiv Chowk', 'The Heritage Pride Modern School', 'Bharat Ram Global School', 'RPS International School', 'Delhi Public School', 'Matrikiran High School', 'Lions Public School', 'Genesis Hospital', 'Miracles Apollo Cradle / Spectra', 'Silver Streak Multi Speciality', 'IGI Airport']","Check out this 4 bhk apartment for sale in orris aster court premier, a popular residential project that houses in-Demand flats in sector 85 gurgaon. Constructed on a super built up area of 2560 sq.Ft., the flat comprises 4 bedroom(s), 5 bathrooms and more than 3 balconies. The property is located on the 6th floor of a 12 floors tall building. Being a ready to move project, you can expect immediate possession of this 0-1 year old property.","['7 Fan', '1 Exhaust Fan', '2 Geyser', '14 Light', '5 AC', '1 Chimney', '1 Modular Kitchen', '3 Wardrobe', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']"
4 BHK Flat in Sector 85 Gurgaon,flat,orris aster court premier,1.49,5820.0,2560.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.)Carpet area: 1890 sq.ft. (175.59 sq.m.),4,5,3+,servant room,"Sector 85 Gurgaon, Gurgaon, Haryana",10,East,1 to 5 Year Old,"['Propose Metro Station', 'SS Omnia Mall', 'National Highway 8', 'Gurgaon Toll', 'Rajiv Chowk', 'The Heritage Pride Modern School', 'Bharat Ram Global School', 'RPS International School', 'Delhi Public School', 'Matrikiran High School', 'Lions Public School', 'Genesis Hospital', 'Miracles Apollo Cradle / Spectra', 'Silver Streak Multi Speciality', 'IGI Airport']","Looking for a 4 bhk property for sale in gurgaon? Buy this 4 bhk flat in orris aster court premier that is situated in sector 85 gurgaon. The flat is west-Facing. The flat occupies a super built up area of 2560 sq.Ft. That consists of 4 bedrooms, 5 bathrooms and more than 3 balconies. The property is located on the 6th floor of a 12 floors tall building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with wood flooring options. This residential property is situated near close to school, close to hospital, close to mall and . Orris aster court premier is designed very well to provide modern facilities such as swimming pool, fitness centre / gym, maintenance staff, park, lift(s), visitor parking, security personnel, club house / community center and shopping centre. The society provides continuous water supply from municipal corporation.
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['1 Stove', '5 AC', '1 Chimney', '1 Modular Kitchen', '4 Wardrobe', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']"
3 BHK Flat in Sector 85 Gurgaon,flat,orris aster court premier,1.2,5660.0,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1550 sq.ft. (144 sq.m.),3,4,2,servant room,"Sector 85 Gurgaon, Gurgaon, Haryana",6,North-East,1 to 5 Year Old,"['Propose Metro Station', 'SS Omnia Mall', 'National Highway 8', 'Gurgaon Toll', 'Rajiv Chowk', 'The Heritage Pride Modern School', 'Bharat Ram Global School', 'RPS International School', 'Delhi Public School', 'Matrikiran High School', 'Lions Public School', 'Genesis Hospital', 'Miracles Apollo Cradle / Spectra', 'Silver Streak Multi Speciality', 'IGI Airport']","Located in the popular residential address of sector 85 gurgaon, orris aster court premier is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 2120 sq.Ft. The flat has a total of 12 floors and this property is situated on 6th floor. An added advantage of this 1-5 years old flat is that it is available for immediate possession as the project is already ready to move.
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['3 Wardrobe', '1 Modular Kitchen', '1 Chimney', '4 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment5 out of 5', 'Lifestyle5 out of 5', 'Connectivity5 out of 5', 'Safety4.5 out of 5']"
3 BHK Flat in Sector 90 Gurgaon,flat,shree vardhman flora,0.86,6254.0,1375.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1525 sq.ft. (141.68 sq.m.)Carpet area: 1375 sq.ft. (127.74 sq.m.),3,4,3,servant room,"Sector 90 Gurgaon, Gurgaon, Haryana",0,North,1 to 5 Year Old,"['IRIS Broadway Mall', 'Dwarka Expressway', 'Saraswati Model School', 'SGT University', 'Aarvy Healthcare Hospital', 'Indira Gandhi International Airport', 'Garhi Harsaru Junction', 'Orchid Business Park', 'Holiday Inn Gurugram Sector 90', 'Flying Wings Badminton Academy']","Shree vardhman flora is one of the most popular destination for buying apartments/ flats in sector 90 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is west-Facing direction. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of 1875 sq.Ft. The property is located on the 6th floor of a 13 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. This residential property is situated near close to school, close to hospital, close to mall and close to railway station. The flat will offer a modern lifestyle as it is presented with many of the amenities such as swimming pool, shopping centre, cctv surveillance, club house / community center, fitness centre / gym, park, lift(s), visitor parking, maintenance staff and security personnel. The residents of this project enjoy a 24*7 access to clean water.
 
 Additional details :Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['2 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Geyser', '10 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']"
4 BHK Flat in Sector 85 Gurgaon,flat,orris carnation residency,0.9,4531.0,1986.0,Super Built up area 1975(183.48 sq.m.)Built Up area: 1575 sq.ft. (146.32 sq.m.)Carpet area: 1435 sq.ft. (133.32 sq.m.),4,4,3,not available,"Sector 85 Gurgaon, Gurgaon, Haryana",8,East,5 to 10 Year Old,"['Omaxe Celebration Mall within reach', 'Nearby Lotus Valley International School', 'The Shri Ram School Aravali', 'Close to ARC Multi Specialty Hospital', 'Proximity to Maxe Healthcare Hospital', 'Close to Medanta, The Medicity', 'Walking distance to Children Park', 'Hyatt Regency in the neighborhood']","Orris carnation residency is one of gurgaon's most sought after destination for apartments and this 4 bhk flat in sector 85 gurgaon is your opportunity to be a part of this community. The flat is over 1975 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 3 balconies. This flat lies on the 8th level of a 12 storey building. As the project is already ready to move, so you can easily move into this 5-10 years old property.","['3 Wardrobe', '6 Fan', '1 Exhaust Fan', '2 Geyser', '12 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area4 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity3 out of 5']"
3 BHK Flat in Sector 95 Gurgaon,flat,saan verdante,2.0,10178.0,1965.0,Super Built up area 1965(182.55 sq.m.)Carpet area: 1935 sq.ft. (179.77 sq.m.),3,4,3+,servant room,"Sector 95 Gurgaon, Gurgaon, Haryana",5,North,0 to 1 Year Old,"['Proposed Metro Station', 'Dwarka Expressway', 'NH-8', 'Delhi International Airport', 'KMP Corridor']",Saan verdante ultra luxury in sector 95,[],"['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Environment4 out of 5', 'Lifestyle4.5 out of 5', 'Connectivity4 out of 5', 'Safety4.5 out of 5']"
4 BHK Flat in Sector 69 Gurgaon,flat,tulip violet,1.85,9203.0,2010.0,Super Built up area 2010(186.74 sq.m.),4,4,2,not available,"1402, Sector 69 Gurgaon, Gurgaon, Haryana",14,North-East,1 to 5 Year Old,"['Airia Mall Sector 68', 'Southern Peripheral Road', 'Golf Course Extension Rd', 'Imperio School', 'DPG Institute of Technology', 'Ektaa Hospitals', 'Indira Gandhi International Airport', 'Vipul Trade Business Centre', 'Radisson Hotel Gurugram', 'SkyJumper Trampoline Park']","Top floor check out this 4 bhk apartment for sale in tulip violet, a popular residential project that houses in-Demand flats in sector 69 gurgaon. The flat is over 2010 sq.Ft. Super built up area and comes with 4 bedroom(s), 4 bathrooms and 2 balconies. The flat has a total of 14 floors and this property is situated on top floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The society is well equipped with many modern amenities, including swimming pool, cctv surveillance, club house / community center, fitness centre / gym, park and lift(s).
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['4 Wardrobe', '5 Fan', '1 Exhaust Fan', '1 Dining Table', '6 Light', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No AC', 'No Bed', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4.5 out of 5']"
3 BHK Flat in Sector 104 Gurgaon,flat,puri emerald bay,2.65,15007.0,1766.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 1765.73 sq.ft. (164.04 sq.m.),3,4,3,servant room,"Middle Floor, Sector 104 Gurgaon, Gurgaon, Haryana",15,North-East,1 to 5 Year Old,"['Sector-21 Metro Dwarka', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Chauma Road', 'Delhi Public School', 'DPG Degree College', 'The NorthCap University', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Infinity Business Park', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","Located in the popular residential address of sector 104 gurgaon, puri emerald bay is one of the most preferred destination for apartments in gurgaon. This 3 bhk flat is your ticket to be a part of this community. Constructed on a super built up area of 2450 sq.Ft., the flat comprises 3 bedroom(s), 4 bathrooms and 3 balconies. This flat is situated on the 15th floor of this 29 floors tall residential building. This 1-5 years old property is available for immediate possession as the project is ready to move. Puri emerald bay is designed very well to provide modern facilities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, park and lift(s).","['1 Water Purifier', '6 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '11 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', '3 Wardrobe', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']"
3 BHK Flat in Sector 102 Gurgaon,flat,emaar gurgaon greens,1.5,9090.0,1650.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,pooja room,"Middle, Sector 102 Gurgaon, Gurgaon, Haryana",7,West,1 to 5 Year Old,"['JMS Marine Square Mall', 'Dwarka Expressway', 'Basai Road', 'Prime Scholars Int. School', 'DPG Institute of Technology', 'Vibrant Hospital', 'Indira Gandhi International Airport', 'IMT Manesar', 'SkyJumper Trampoline Park', 'Ramgarh Farms & Resort']","Emaar gurgaon greens is one of the most popular destination for buying apartments/ flats in sector 102 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This property faces the east direction. Constructed on a super built up area of 1650 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 3 balconies. This flat lies on the 7th level of a 14 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using ceramic flooring, giving the flat an alluring look. All the modern amenities such as swimming pool, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, lift(s), visitor parking, water softening plant and shopping centre will make life easier for you. The project provides access to clean water through municipal corporation and borewell/tank supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['3 Wardrobe', '1 Water Purifier', '5 Fan', '1 Exhaust Fan', '3 Geyser', '21 Light', '4 AC', '1 Modular Kitchen', '1 Chimney', '1 Curtains', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']"
3 BHK Flat in Sector 109 Gurgaon,flat,ats kocoon,1.75,10028.0,1745.0,Super Built up area 1745(162.12 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,3,3,pooja room,"Middle, Sector 109 Gurgaon, Gurgaon, Haryana",10,North-East,1 to 5 Year Old,"['Jagdish Super Market', 'Dwarka', 'Euro International School', 'Gyaananda School', 'SCR Model School', 'Radha Krishan Mandir', 'ICICI BANK ATM, Annapurna MKT', 'ESIC Dispensary', 'IGIA Airport', 'Canara Bank New Palam Vihar', 'Gurgaon Gramin Bank', 'Daultabad Stadium', 'Bharat Petroleum Shree Shyam Filling', 'The Club, International City', 'Conscient One']","This beautiful 3 bhk flat in sector 109 gurgaon is situated in ats kocoon, one of the popular residential society in gurgaon. The flat occupies a super built up area of 1745 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 3 balconies. The property is located on the 10th floor of a 25 floors tall building. As the project is already ready to move, so you can easily move into this 1-5 years old property.","['1 Water Purifier', '5 Fan', '1 Exhaust Fan', '3 Geyser', '1 Stove', '19 Light', '1 Modular Kitchen', '1 Chimney', '4 AC', '7 Curtains', '3 Wardrobe', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']"
2 BHK Flat in Sector 104 Gurgaon,flat,puri emerald bay,1.32,8516.0,1550.0,Super Built up area 1550(144 sq.m.),2,2,2,not available,"Dwarka Express Way, Sector 104 Gurgaon, Gurgaon, Haryana",10,North-East,1 to 5 Year Old,"['Sector-21 Metro Dwarka', 'Gurgaon Dreamz Mall', 'Dwarka Expressway', 'Chauma Road', 'Delhi Public School', 'DPG Degree College', 'The NorthCap University', 'Chirag Hospital', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Infinity Business Park', 'Park Inn', ""Oyster's Water Park"", 'DLF Golf and Country Club']","Looking for a 2 bhk property for sale in gurgaon? Buy this 2 bhk flat in puri emerald bay that is situated in sector 104 gurgaon. This property faces the west direction. The flat occupies a super built up area of 1550 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 2 balconies. This flat lies on the 10th level of a 29 storey building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The flat comes well built with vitrified flooring options. The society complex is in the close vicinity of close to school, close to railway station and close to market, making it an ideal home for a relaxed lifestyle. Puri emerald bay is designed very well to provide modern facilities such as swimming pool, club house / community center, cctv surveillance, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and security personnel. An uninterrupted supply of clean water provides a hassle-Free experience for the residents.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['1 Stove', '1 Chimney', '4 AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Modular Kitchen', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Recently Renovated', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management5 out of 5', 'Amenities5 out of 5', 'Connectivity4 out of 5']"
2 BHK Flat in Sector 83 Gurgaon,flat,vatika city homes,0.8,6060.0,1320.0,Super Built up area 1320(122.63 sq.m.),2,2,2,store room,"Sector 83 Gurgaon, Gurgaon, Haryana",8,East,5 to 10 Year Old,"['Kisan Mandi', 'Vatika City Centre', 'Manesar Toll Plaza', 'Sri Chaitanya School', 'Discovery Montessori Preschool', 'Vatika Lifestyle Nursery School', 'Global Healthcare Hospital', 'Badsa Ams Hospital', 'Miracles Apollo Hospital', 'Genesis Hospital', 'Inox Cinema', 'Football ground', 'IndianOil', 'IGL CNG Station', 'JSA Helipad']","Vatika city homes in sector-83, gurgaon is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences. There are 2bhk and 3bhk apartments available in this project. This housing society is now ready to be called home as families have started moving in. Check out some of the features of vatika city homes housing society:*spread over an area of 7.67 acres, vatika city homes is one of the spacious housing societies in the gurgaon region. With all the basic amenities available, vatika city homes fits into your budget and your lifestyle.*sector-83 has good connectivity to some of the important areas in the proximity such as sri chaitanya school, discovery montessori preschool and global healthcare hospital and so on.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Power Back-up', 'Lift(s)', 'Maintenance Staff', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']"
