property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-822-sq-ft-spid-P69364116,Signature Global Park4.0 ★,52 Lac,"₹ 6,326/sq.ft.",Carpet area: 822 (76.37 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"0001, Sohna, Gurgaon, Haryana",3rd   of 4 Floors,North-West,1 to 5 Year Old,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","Signature global park in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range.
 Additional details :The apartment has borings water supply.
No power backup is available.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",P69364116
3 BHK Flat in Sohna,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-1439-sq-ft-spid-G69365276,Signature Global Park4.0 ★,90.5 Lac,"₹ 6,289/sq.ft.",Carpet area: 1439 (133.69 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,Pooja Room,"0001, Sohna, Gurgaon, Haryana",1st   of 4 Floors,West,1 to 5 Year Old,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","Signature global park in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['3 Fan', '1 Exhaust Fan', '3 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",G69365276
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-822-sq-ft-spid-P69364218,Signature Global Park4.0 ★,52.5 Lac,"₹ 6,386/sq.ft.",Carpet area: 822 (76.37 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"0001, Sohna, Gurgaon, Haryana",2nd   of 4 Floors,North-East,1 to 5 Year Old,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","Signature global park in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range.
 Additional details :The apartment has borings water supply.
No power backup is available.
The society has dedicated security guards for every tower.","['3 Fan', '1 Exhaust Fan', '1 Dining Table', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",P69364218
3 BHK Flat in Sector 37C Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-corona-optus-sector-37-c-gurgaon-1735-sq-ft-spid-A69464642,Corona Optus3.9 ★,1.2 Crore,"₹ 6,916/sq.ft.",Super Built up area 1735(161.19 sq.m.)Built Up area: 1635 sq.ft. (151.9 sq.m.)Carpet area: 1535 sq.ft. (142.61 sq.m.),3 Bedrooms,4 Bathrooms,3 Balconies,,"804, Sector 37C Gurgaon, Gurgaon, Haryana",8th   of 14 Floors,South-West,1 to 5 Year Old,"['The Esplanade Mall', 'Gurugram Road', 'Delhi Jaipur Expressway', 'Green Field Public School', 'Gurugram University', 'Medanta The Medicity', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Kadipur Industrial Area', 'Holiday Inn Gurugram Sector 90', 'Tau DeviLal Sports Complex', 'Heritage badminton academy', 'SkyJumper Trampoline Park']","This lovely 3 bhk apartment/flat in sector 37c gurgaon is available for sale in one of gurgaon's most popular projects, corona optus. This residential flat is east-Facing direction. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1735 sq.Ft. This flat is situated on the 8th floor of this 14 floors tall residential building. Being a ready to move project, you can expect immediate possession of this 1-5 years old property. The well built marble flooring enhances the aesthetic appeal of this flat. All the modern amenities such as swimming pool, grocery shop, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and shopping centre will make life easier for you. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4 out of 5']",A69464642
3 BHK Flat in Sector 37C Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-corona-optus-sector-37-c-gurgaon-1765-sq-ft-spid-T69464532,Corona Optus3.9 ★,1.22 Crore,"₹ 6,912/sq.ft.",Super Built up area 1765(163.97 sq.m.)Built Up area: 1665 sq.ft. (154.68 sq.m.)Carpet area: 1565 sq.ft. (145.39 sq.m.),3 Bedrooms,4 Bathrooms,3 Balconies,,"501, Sector 37C Gurgaon, Gurgaon, Haryana",5th   of 14 Floors,South-East,1 to 5 Year Old,"['The Esplanade Mall', 'Gurugram Road', 'Delhi Jaipur Expressway', 'Green Field Public School', 'Gurugram University', 'Medanta The Medicity', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Kadipur Industrial Area', 'Holiday Inn Gurugram Sector 90', 'Tau DeviLal Sports Complex', 'Heritage badminton academy', 'SkyJumper Trampoline Park']","This lovely 3 bhk apartment/flat in sector 37c gurgaon is available for sale in one of gurgaon's most popular projects, corona optus. This property faces the east direction. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1765 sq.Ft. The residential building has 14 floors in total and the flat for sale is located on the 5th floor. This 1-5 years old property is available for immediate possession as the project is ready to move. The beautifully designed marble flooring enhances the beauty of the flat. Corona optus is designed very well to provide modern facilities such as swimming pool, grocery shop, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and shopping centre. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4 out of 5']",T69464532
3 BHK Flat in Sector 37C Gurgaon,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-corona-optus-sector-37-c-gurgaon-1990-sq-ft-spid-O69464448,Corona Optus3.9 ★,1.4 Crore,"₹ 7,035/sq.ft.",Super Built up area 1990(184.88 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1790 sq.ft. (166.3 sq.m.),3 Bedrooms,3 Bathrooms,3+ Balconies,Servant Room,"402, Sector 37C Gurgaon, Gurgaon, Haryana",4th   of 14 Floors,South,1 to 5 Year Old,"['The Esplanade Mall', 'Gurugram Road', 'Delhi Jaipur Expressway', 'Green Field Public School', 'Gurugram University', 'Medanta The Medicity', 'Indira Gandhi International Airport', 'Gurgaon Railway Station', 'Kadipur Industrial Area', 'Holiday Inn Gurugram Sector 90', 'Tau DeviLal Sports Complex', 'Heritage badminton academy', 'SkyJumper Trampoline Park']","This 3 bhk flat is located in corona optus, which houses some of the most spacious flats in sector 37c gurgaon. The flat is facing the east direction. The flat is over 1990 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and more than 3 balconies. The property is located on the 4th floor of a 14 floors tall building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The floor of this flat is beautifully designed using marble flooring, giving the flat an alluring look. Corona optus is designed very well to provide modern facilities such as swimming pool, grocery shop, club house / community center, fitness centre / gym, park, lift(s), maintenance staff, visitor parking, water softening plant and shopping centre. Municipal corporation and borewell/tank provides a regular supply of water to this residential project.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Partial power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4 out of 5', 'Management4 out of 5', 'Amenities4 out of 5', 'Connectivity4 out of 5']",O69464448
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eldeco-accolade-sohna-gurgaon-1269-sq-ft-r1-spid-W67702602,Eldeco Accolade3.8 ★,73 Lac,"₹ 5,752/sq.ft.",Super Built up area 1269(117.89 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,Pooja Room,"0001, Sohna, Gurgaon, Haryana",9th   of 18 Floors,North-East,1 to 5 Year Old,"['Global City Centre', 'Sohna Road', 'Damdama More', 'Western Peripheral Expressway', 'GD Goenka World School', 'K.R. Mangalam University', 'Civil Hospital']","Eldeco accolade in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences.
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity3.5 out of 5']",W67702602
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eldeco-accolade-sohna-gurgaon-1457-sq-ft-spid-T69313738,Eldeco Accolade3.8 ★,72.5 Lac,"₹ 4,975/sq.ft.",Super Built up area 1457(135.36 sq.m.)Carpet area: 849 sq.ft. (78.87 sq.m.),2 Bedrooms,2 Bathrooms,3+ Balconies,Study Room,"0001, Sohna, Gurgaon, Haryana",12nd   of 18 Floors,East,1 to 5 Year Old,"['Global City Centre', 'Sohna Road', 'Damdama More', 'Western Peripheral Expressway', 'GD Goenka World School', 'K.R. Mangalam University', 'Civil Hospital']","Eldeco accolade in sohna, gurgaon is a ready-To-Move housing society. It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity3.5 out of 5']",T69313738
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eldeco-accolade-sohna-gurgaon-1264-sq-ft-r1-spid-L67702480,Eldeco Accolade3.8 ★,72.5 Lac,"₹ 5,735/sq.ft.",Carpet area: 1264 (117.43 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"0001, Sohna, Gurgaon, Haryana",8th   of 18 Floors,West,1 to 5 Year Old,"['Global City Centre', 'Sohna Road', 'Damdama More', 'Western Peripheral Expressway', 'GD Goenka World School', 'K.R. Mangalam University', 'Civil Hospital']","Eldeco accolade in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requirements and conveniences.
 
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.","['3 Fan', '1 Exhaust Fan', '3 Light', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Modular Kitchen', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction4.5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity3.5 out of 5']",L67702480
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-1210-sq-ft-spid-K69315712,Signature Global Park4.0 ★,72.5 Lac,"₹ 5,991/sq.ft.",Super Built up area 1210(112.41 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,Pooja Room,"001, Sohna, Gurgaon, Haryana",3rd   of 4 Floors,North-West,1 to 5 Year Old,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","Signature global park in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.","['3 Fan', '1 Exhaust Fan', '3 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Water purifier', 'Centrally Air Conditioned', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",K69315712
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-845-sq-ft-spid-Z69365004,Signature Global Park4.0 ★,53.5 Lac,"₹ 6,331/sq.ft.",Carpet area: 845 (78.5 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"0001, Sohna, Gurgaon, Haryana",4th   of 4 Floors,West,1 to 5 Year Old,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","Signature global park in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.","['2 Fan', '1 Exhaust Fan', '2 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",Z69365004
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-1210-sq-ft-spid-O69315836,Signature Global Park4.0 ★,67 Lac,"₹ 5,537/sq.ft.",Super Built up area 1210(112.41 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,Pooja Room,"001, Sohna, Gurgaon, Haryana",4th   of 4 Floors,North-East,1 to 5 Year Old,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","Signature global park in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range.
 Additional details :The apartment has borings water supply.
No power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Recently Renovated', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",O69315836
3 BHK Flat in Sohna,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-1210-sq-ft-spid-N69365196,Signature Global Park4.0 ★,78 Lac,"₹ 6,446/sq.ft.",Carpet area: 1210 (112.41 sq.m.),3 Bedrooms,3 Bathrooms,3 Balconies,Pooja Room,"0001, Sohna, Gurgaon, Haryana",3rd   of 4 Floors,South-West,1 to 5 Year Old,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","Signature global park in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
There is also a separate washroom for domestic help.
The society has dedicated security guards for every tower.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",N69365196
2 BHK Flat in Sohna,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-global-park-sohna-gurgaon-1153-sq-ft-spid-E69315896,Signature Global Park4.0 ★,65 Lac,"₹ 5,637/sq.ft.",Super Built up area 1153(107.12 sq.m.),2 Bedrooms,2 Bathrooms,2 Balconies,Pooja Room,"001, Sohna, Gurgaon, Haryana",2nd   of 4 Floors,North-West,1 to 5 Year Old,"['Sector 55-56 metro', 'Global city centre', 'Sohna road dhunela', 'Gd goenka university', 'Maharana pratap school', 'Vardaan hospital and trauma centre', 'Indira Gandhi International Airport', 'Garhi harsaru railway station Gurgaon']","Signature global park in sohna, gurgaon is a ready-To-Move housing society. It offers apartments and independent floors in varied budget range.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Green Area5 out of 5', 'Construction5 out of 5', 'Management4 out of 5', 'Amenities5 out of 5', 'Connectivity5 out of 5']",E69315896
